Delta,z_up,z_dn
-1.6,0.8084287725507843,0.26036311806405354
-1.5,0.6027185199927134,0.25986940868056924
-1.4000000000000001,0.47059060047110024,0.2560617889870448
-1.3,0.38456417879621024,0.24877128585807304
-1.2000000000000002,0.3198288721888074,0.23951479180797033
-1.1,0.26828609247587293,0.22883772504229835
-1.0,0.2338409359049985,0.21476780754859628
-0.9,0.22298585192736492,0.19705296621307727
-0.8,0.21991346309840779,0.1822256715519247
-0.7000000000000001,0.1825134246510381,0.1667641565092234
-0.6000000000000001,0.12653034987091605,0.143522119377341
-0.5,0.12206836823154867,0.1279623982447763
-0.3999999999999999,0.10231212859384306,0.10394717365000046
-0.30000000000000004,0.05086134444863344,0.08316222522931413
-0.19999999999999996,0.05172241157894067,0.06043783907012335
-0.10000000000000009,0.006693154785278586,0.03547850467410567
0.0,-0.012000613104914296,0.013050673082938903
0.10000000000000009,-0.03310065203586828,-0.013940231879134997
0.19999999999999996,-0.07091320730841526,-0.03653724401025831
0.30000000000000004,-0.07714857433352042,-0.06412941598557377
0.3999999999999999,-0.11716674207634649,-0.085815016767328
0.5,-0.12948899803479355,-0.11420094228642336
0.6000000000000001,-0.1489854499334601,-0.13159942427386484
0.7000000000000002,-0.17941578972180222,-0.1630494088514022
0.8000000000000003,-0.18931007297870148,-0.17236577704289696
0.8999999999999999,-0.20405043969820627,-0.20450307544116744
1.0,-0.22687824067431928,-0.21689981157444246
1.1,-0.24364120236516104,-0.22670282297138836
1.2000000000000002,-0.2538121578426262,-0.25264377182225756
1.3000000000000003,-0.2615574633227669,-0.2695245152331458
1.4,-0.2673443620867707,-0.2744406357792893
1.5,-0.26996215676212076,-0.27614409729362316
1.6,-0.27147660099498844,-0.2755081898917343
