Delta,R
-1.4,0.016595646629037505
-1.2727272727272727,0.048574310812896405
-1.1454545454545455,0.21518326065419127
-1.018181818181818,0.2501474869641507
-0.8909090909090909,0.21843681972577603
-0.7636363636363637,0.11458545421695124
-0.6363636363636364,0.017265658274882332
-0.509090909090909,0.013909673191733736
-0.38181818181818183,0.04613330464815431
-0.25454545454545463,0.02361982607122223
-0.12727272727272743,0.0397286007546216
0.0,0.012095294539088128
0.1272727272727272,0.03972860075462158
0.2545454545454544,0.023619826071222278
0.38181818181818183,0.04613330464815431
0.509090909090909,0.013909673191733736
0.6363636363636362,0.017265658274882297
0.7636363636363637,0.11458545421695124
0.8909090909090907,0.21843681972577575
1.018181818181818,0.2501474869641507
1.145454545454545,0.21518326065419133
1.2727272727272725,0.048574310812896725
1.4,0.016595646629037505
