N,F
2,0.9999280468045992
4,0.9998560987864609
8,0.9997122182804811
16,0.9994245193792801
32,0.9988493699365052
64,0.9977000638225533
128,0.995405417351527
256,0.9908319448927676
512,0.9817479430199844
1024,0.9638290236239705
2048,0.9289663867799364
4096,0.8629785477669702
8192,0.744731973905989
16384,0.5546257129579107
32768,0.3076096814740708
65536,0.09462371613657929
131072,0.008953647655495936
262144,8.016780633876786e-05
524288,6.426877173170188e-09
1048576,4.1304750199016025e-17
2097152,1.7060823890031146e-33
3200000,1e-50
